,name,size,monster_type,alignment,ac,hp,strength,str_mod,dex,dex_mod,con,con_mod,intel,int_mod,wis,wis_mod,cha,cha_mod,senses,languages,cr,str_save,dex_save,con_save,int_save,wis_save,cha_save,speed,swim,fly,climb,burrow,number_legendary_actions,history,perception,stealth,persuasion,insight,deception,arcana,religion,acrobatics,athletics,intimidation,info,action_1,action_2,action_3,action_4,action_5,action_6,action_7,action_8,action_9,action_10,legend_action_1,legend_action_2,legend_action_3,legend_action_4,legend_action_5
0,Aboleth,Large,Aberration,lawful evil,17,135,21,5,9,-1,15,2,18,4,15,2,18,4,"Darkvision 120 Ft., passive Perception 20","Deep Speech, Telepathy 120 Ft.",10,,,+6,+8,+6,,10,40,0,0,0,3,12,10,0,0,0,0,0,0,0,0,0,"Amphibious. The aboleth can breathe air and water. | Mucous Cloud. While underwater, the aboleth is surrounded by transformative mucus. A creature that touches the aboleth or that hits it with a melee attack while within 5 ft. of it must make a DC 14 Constitution saving throw. On a failure, the creature is diseased for 1d4 hours. The diseased creature can breathe only underwater. | Probing Telepathy. If a creature communicates telepathically with the aboleth, the aboleth learns the creature's greatest desires if the aboleth can see the creature.",Multiattack. The aboleth makes three tentacle attacks.,"Tentacle. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: (2d6 + 5) bludgeoning damage. If the target is a creature, it must succeed on a DC 14 Constitution saving throw or become diseased. The disease has no effect for 1 minute and can be removed by any magic that cures disease. After 1 minute, the diseased creature's skin becomes translucent and slimy, the creature can't regain hit points unless it is underwater, and the disease can be removed only by heal or another disease-curing spell of 6th level or higher. When the creature is outside a body of water, it takes 6 (1d12) acid damage every 10 minutes unless moisture is applied to the skin before 10 minutes have passed","Tail. Melee Weapon Attack: +9 to hit, reach 10 ft., one target. Hit: (3d6 + 5) bludgeoning damage.","Enslave (3/day). The aboleth targets one creature it can see within 30 ft. of it. The target must succeed on a DC 14 Wisdom saving throw or be magically charmed by the aboleth until the aboleth dies or until it is on a different plane of existence from the target. The charmed target is under the aboleth's control and can't take reactions, and the aboleth and the target can communicate telepathically with each other over any distance.","Whenever the charmed target takes damage, the target can repeat the saving throw. On a success, the effect ends. No more than once every 24 hours, the target can also repeat the saving throw when it is at least 1 mile away from the aboleth.",,,,,,Detect.The aboleth makes a Wisdom (Perception) check.,Tail Swipe.The aboleth makes one tail attack.,"Psychic Drain (Costs 2 Actions).One creature charmed by the aboleth takes 10 (3d6) psychic damage, and the aboleth regains hit points equal to the damage the creature takes.",,
1,Acolyte,Medium,Humanoid (any race),any alignment,10,9,10,0,10,0,10,0,10,0,14,2,11,0,passive Perception 12,Any One Language (Usually Common),1/4,,,,,,,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Spellcasting. The acolyte is a 1st-level spellcaster. Its spellcasting ability is Wisdom (spell save DC 12, +4 to hit with spell attacks). The acolyte has following cleric spells prepared: |  | • Cantrips (at will): light, sacred flame, thaumaturgy | • 1st level (3 slots): bless, cure wounds, sanctuary","Club. Melee Weapon Attack: +2 to hit, reach 5 ft., one target. Hit: (1d4) bludgeoning damage.",,,,,,,,,,,,,,
2,Adult Black Dragon,Huge,Dragon,chaotic evil,19,195,23,6,14,2,21,5,14,2,13,1,17,3,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 21","Common, Draconic",14,,+7,+10,,+6,+8,40,40,80,0,0,3,0,11,7,0,0,0,0,0,0,0,0,"Amphibious. The dragon can breathe air and water. | Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.",Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: (2d10 + 6) piercing damage plus (1d8)acid damage.","Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: (2d6 + 6) slashing damage.","Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: (2d8 + 6) bludgeoning damage.","Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.","Acid Breath (Recharge 5-6). The dragon exhales acid in a 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.",,,,,Detect.The dragon makes a Wisdom (Perception) check.,Tail Attack.The dragon makes a tail attack.,Wing Attack (Costs 2 Actions).The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,
3,Adult Blue Dragon,Huge,Dragon,lawful evil,19,225,25,7,10,0,23,6,16,3,15,2,19,4,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 22","Common, Draconic",16,,+5,+11,,+7,+9,40,0,80,0,30,3,0,12,5,0,0,0,0,0,0,0,0,"Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.",Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: (2d10 + 7) piercing damage plus (1d10)lightning damage.","Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: (2d6 + 7) slashing damage.","Tail. Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: (2d8 + 7) bludgeoning damage.","Frightful Presence. Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.","Lightning Breath (Recharge 5-6). The dragon exhales lightning in a 90-foot line that is 5 ft. wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.",,,,,Detect.The dragon makes a Wisdom (Perception) check.,Tail Attack.The dragon makes a tail attack.,Wing Attack (Costs 2 Actions).The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,
4,Adult Brass Dragon,Huge,Dragon,chaotic good,18,172,23,6,10,0,21,5,14,2,13,1,17,3,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 21","Common, Draconic",13,,+5,+10,,+6,+8,40,0,80,0,40,3,7,11,5,8,0,0,0,0,0,0,0,"Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.",Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: (2d10 + 6) piercing damage.","Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: (2d6 + 6) slashing damage.","Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: (2d8 + 6) bludgeoning damage.","Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.,"Fire Breath. The dragon exhales fire in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 45 (13d6) fire damage on a failed save, or half as much damage on a successful one.",Sleep Breath. The dragon exhales sleep gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw or fall unconscious for 10 minutes. This effect ends for a creature if the creature takes damage or someone uses an action to wake it.,,,Detect.The dragon makes a Wisdom (Perception) check.,Tail Attack.The dragon makes a tail attack.,Wing Attack (Costs 2 Actions).The dragon beats its wings. Each creature within 10 feet of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,
5,Adult Bronze Dragon,Huge,Dragon,lawful good,19,212,25,7,10,0,23,6,16,3,15,2,19,4,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 22","Common, Draconic",15,,+5,+11,,+7,+9,40,40,80,0,0,3,0,12,5,0,7,0,0,0,0,0,0,"Amphibious. The dragon can breathe air and water. | Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.",Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +12 to hit, reach 10 ft., one target. Hit: (2d10 + 7) piercing damage.","Claw. Melee Weapon Attack: +12 to hit, reach 5 ft., one target. Hit: (2d6 + 7) slashing damage.","Tail. Melee Weapon Attack: +12 to hit, reach 15 ft., one target. Hit: (2d8 + 7) bludgeoning damage.","Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 17 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.,"Lightning Breath. The dragon exhales lightning in a 90-foot line that is 5 feet wide. Each creature in that line must make a DC 19 Dexterity saving throw, taking 66 (12d10) lightning damage on a failed save, or half as much damage on a successful one.","Repulsion Breath. The dragon exhales repulsion energy in a 30-foot cone. Each creature in that area must succeed on a DC 19 Strength saving throw. On a failed save, the creature is pushed 60 feet away from the dragon.","Change Shape. The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice). In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.",,Detect.The dragon makes a Wisdom (Perception) check.,Tail Attack.The dragon makes a tail attack.,Wing Attack (Costs 2 Actions).The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 20 Dexterity saving throw or take 14 (2d6 + 7) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,
6,Adult Copper Dragon,Huge,Dragon,chaotic good,18,184,23,6,12,1,21,5,18,4,15,2,17,3,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 22","Common, Draconic",14,,+6,+10,,+7,+8,40,0,80,40,0,3,0,12,6,0,0,8,0,0,0,0,0,"Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.",Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: (2d10 + 6) piercing damage.","Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: (2d6 + 6) slashing damage.","Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: (2d8 + 6) bludgeoning damage.","Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.,"Acid Breath. The dragon exhales acid in an 60-foot line that is 5 feet wide. Each creature in that line must make a DC 18 Dexterity saving throw, taking 54 (12d8) acid damage on a failed save, or half as much damage on a successful one.","Slowing Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 18 Constitution saving throw. On a failed save, the creature can't use reactions, its speed is halved, and it can't make more than one attack on its turn. In addition, the creature can use either an action or a bonus action on its turn, but not both. These effects last for 1 minute. The creature can repeat the saving throw at the end of each of its turns, ending the effect on itself with a successful save.",,,Detect.The dragon makes a Wisdom (Perception) check.,Tail Attack.The dragon makes a tail attack.,Wing Attack (Costs 2 Actions).The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,
7,Adult Gold Dragon,Huge,Dragon,lawful good,19,256,27,8,14,2,25,7,16,3,15,2,24,7,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 24","Common, Draconic",17,,+8,+13,,+8,+13,40,40,80,0,0,3,0,14,8,13,8,0,0,0,0,0,0,"Amphibious. The dragon can breathe air and water. | Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.",Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: (2d10 + 8) piercing damage.","Claw. Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: (2d6 + 8) slashing damage.","Tail. Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: (2d8 + 8) bludgeoning damage.","Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 21 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.",Breath Weapons (Recharge 5-6). The dragon uses one of the following breath weapons.,"Fire Breath. The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 66 (12d10) fire damage on a failed save, or half as much damage on a successful one.","Weakening Breath. The dragon exhales gas in a 60-foot cone. Each creature in that area must succeed on a DC 21 Strength saving throw or have disadvantage on Strength-based attack rolls, Strength checks, and Strength saving throws for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success.","Change Shape. The dragon magically polymorphs into a humanoid or beast that has a challenge rating no higher than its own, or back into its true form. It reverts to its true form if it dies. Any equipment it is wearing or carrying is absorbed or borne by the new form (the dragon's choice). In a new form, the dragon retains its alignment, hit points, Hit Dice, ability to speak, proficiencies, Legendary Resistance, lair actions, and Intelligence, Wisdom, and Charisma scores, as well as this action. Its statistics and capabilities are otherwise replaced by those of the new form, except any class features or legendary actions of that form.",,Detect.The dragon makes a Wisdom (Perception) check.,Tail Attack.The dragon makes a tail attack.,Wing Attack (Costs 2 Actions).The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,
8,Adult Green Dragon,Huge,Dragon,lawful evil,19,207,23,6,12,1,21,5,18,4,15,2,17,3,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 22","Common, Draconic",15,,+6,+10,,+7,+8,40,40,80,0,0,3,0,12,6,8,7,8,0,0,0,0,0,"Amphibious. The dragon can breathe air and water. | Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.",Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +11 to hit, reach 10 ft., one target. Hit: (2d10 + 6) piercing damage plus (2d6)poison damage.","Claw. Melee Weapon Attack: +11 to hit, reach 5 ft., one target. Hit: (2d6 + 6) slashing damage.","Tail. Melee Weapon Attack: +11 to hit, reach 15 ft., one target. Hit: (2d8 + 6) bludgeoning damage.","Frightful Presence. Each creature of the dragon's choice that is within 120 feet of the dragon and aware of it must succeed on a DC 16 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.","Poison Breath (Recharge 5-6). The dragon exhales poisonous gas in a 60-foot cone. Each creature in that area must make a DC 18 Constitution saving throw, taking 56 (16d6) poison damage on a failed save, or half as much damage on a successful one.",,,,,Detect.The dragon makes a Wisdom (Perception) check.,Tail Attack.The dragon makes a tail attack.,Wing Attack (Costs 2 Actions).The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 19 Dexterity saving throw or take 13 (2d6 + 6) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,
9,Adult Red Dragon,Huge,Dragon,chaotic evil,19,256,27,8,10,0,25,7,16,3,13,1,21,5,"Blindsight 60 Ft., Darkvision 120 Ft., passive Perception 23","Common, Draconic",17,,+6,+13,,+7,+11,40,0,80,40,0,3,0,13,6,0,0,0,0,0,0,0,0,"Legendary Resistance (3/Day). If the dragon fails a saving throw, it can choose to succeed instead.",Multiattack. The dragon can use its Frightful Presence. It then makes three attacks: one with its bite and two with its claws.,"Bite. Melee Weapon Attack: +14 to hit, reach 10 ft., one target. Hit: (2d10 + 8) piercing damage plus (2d6)fire damage.","Claw. Melee Weapon Attack: +14 to hit, reach 5 ft., one target. Hit: (2d6 + 8) slashing damage.","Tail. Melee Weapon Attack: +14 to hit, reach 15 ft., one target. Hit: (2d8 + 8) bludgeoning damage.","Frightful Presence. Each creature of the dragon's choice that is within 120 ft. of the dragon and aware of it must succeed on a DC 19 Wisdom saving throw or become frightened for 1 minute. A creature can repeat the saving throw at the end of each of its turns, ending the effect on itself on a success. If a creature's saving throw is successful or the effect ends for it, the creature is immune to the dragon's Frightful Presence for the next 24 hours.","Fire Breath (Recharge 5-6). The dragon exhales fire in a 60-foot cone. Each creature in that area must make a DC 21 Dexterity saving throw, taking 63 (18d6) fire damage on a failed save, or half as much damage on a successful one.",,,,,Detect.The dragon makes a Wisdom (Perception) check.,Tail Attack.The dragon makes a tail attack.,Wing Attack (Costs 2 Actions).The dragon beats its wings. Each creature within 10 ft. of the dragon must succeed on a DC 22 Dexterity saving throw or take 15 (2d6 + 8) bludgeoning damage and be knocked prone. The dragon can then fly up to half its flying speed.,,
